ABAS	Abas	 II a. C. 	 	 historicus	 	 	 	 	 				
ABERC.	Abercius Hieropolitanus	 II d. C. 	 	 	 	 	 	 	 				
	 	 	 	 	Epitaph 	Epitaphium Abercii 	 	 	 				
ABLABIUS ILLUSTRIUS	Ablabius Illustrius	 V d. C. 	 	 epigrammaticus	 	 	 	 	 				
ABR. EPH.	Abraham Ephesinus	 VI d. C. 	 	 	 	 	 	 	 				
	 	 	 	 	Annunt 	in annuntiationem deiparae 	 	 	 				
	 	 	 	 	Occurs 	in occursum domini 	 	 	 				
ABYD.	Abydenus	 II d. C. 	 	 historicus 	 	 	 	 	 				
ACAC. B.	Acacius Beroeensis	 V d. C. 	 	 	 	 	 	 	 				
	 	 	 	 	Ep. Alex 	Epistula ad Alexandrum Hierapolitanum 	 	 	 				
	 	 	 	 	Ep. Cyr 	Epistula ad Cyrillum Alexandrinum 	 	 	 				
	 	 	 	 	Ep. Max 	Epistula ad Maximianum Constantinopolitanum 	 	 	 				
ACAC. CAES.	Acacius Caesariensis	 IV d. C. 	 	 	 	 	 	 	 				
	 	 	 	 	Fr. Marcell 	Fragmenta contra Marcellum 	 	 	 				
	 	 	 	 	Fr. Rom 	Fragmenta in Ep. Romanos 	 	 	 				
	 	 	 	 	Oct 	Fragmenta in Octateuchum 	 	 	 				
ACAC. CP	Acacius Constantinopolitanus	 V d. C. 	 	 	 	 	 	 	 				
	 	 	 	 	Ep 	Epistula ad Petrum Fullonem 	 	 	 				
ACAC. MEL.	Acacius Melitenus	 V d. C. 	 	 	 	 	 	 	 				
	 	 	 	 	Hom 	Homilia Ephesina 	 	 	 				
ACAC. ET PAUL.	Acacius et Paulus	 IV d. C. 	 	 scriptores ecclesiastici 	 	 	 	 	 				
	 	 	 	 	Ep 	Epistula ad Epiphanium 	 	 	 				
ACAD. IND.	Academicorum Philosophorum index Herculanensis	 I a. C. 	 	 	 	 	 	 	 				
ACERAT.	Aceratus	 I d. C. 	 	 epigrammaticus 	 	 	 	 	 				
ACESAND.	Acesander	 IV a. C. 	 	 historicus 	 	 	 	 	 				
ACESTODORUS	Acestodorus	 III a. C. 	 	 historicus	 	 	 	 	 				
ACESTORIDES	Acestorides	 d. C. 	 	 historicus	 	 	 	 	 				
ACHAE.	Achaeus	 V a. C. 	 	 tragicus 	 	 	 	 	 				
ACHILLES TATIUS	Achilles Tatius	 III d. C. 	 	 astronomus (Ach. Tat. )	 	 	 	 	 				
	 	 	 	 	Intr. Arat 	Introductio in Aratum 	 	 	 				
	 	 	 	 	Phaen 	de phaenomenorum interpretatione 	 	 	 				
	 	 	 	 	Vit. Arat 	de Arati uita 	 	 	 				
ACH. TAT. $2	Achilles Tatius	 II d. C. 	 	 scriptor eroticus 	 	 	 	 	 				
ACILIUS	Acilius	 II a. C. 	 	 historicus	 	 	 	 	 				
ACRO	Acro	 V a. C. 	 	 medicus	 	 	 	 	 				
